id,nombre
1,Rick Riordan
231,Gabriela Keselman
35,Gabriel Korenfeld
144,Ariela Kreimer
2,Max Brallier
10,Liliana Bodoc
12,Margarita Maine
13,Margarita Mainé
233,Nícolas Schuff
234,Graciela Pérez Aguilar
15,Liliana Cinetto
5,Marissa Meyer
22,Marcelo E. Mazzanti
23,Enid Blyton
236,Robert Louis Stevenson
237,Federico Javier Blanco
268,"Muneyuki Kaneshiro, Yusuke Nomura"
27,Michael Dahl
154,Diego Javier Rojas
34,Olga Drennen
238,Graciela Montes
41,"Korky Korky, Valerie Thomas, Korky Paul"
42,José Montero
240,"Shar Levine, Leslie Johnstone"
145,Elsa Bornemann
47,"Korky Paul, Valerie Thomas"
159,Cecilia Pisos
49,"Korky Paul, Valérie Thomas"
160,Guillermo del Toro
241,Fiodor Dostoevski
57,Luis María Pescetti
163,Roberto Santiago
149,Roverto Santiago
141,Roy Berocay
243,Ignacio Gutierrez Zaldivar
245,Joseph Conrad
242,Isabel Allende
247,Maire Soula Febre
9,J.K.Rowling
248,Oscar Wilde
249,María Fernandez Méndez
250,Silvia Ail
176,Stephen O'Brien
251,José Luis Pubul Martín
252,Amalia Odino Carballada
179,"Franco Vaccarini, Iñaki Echeverría"
253,Daniel Balmaceda
254,Franz Kafka
255,"Luis Omar Fernández, Hernán Miguel D'Agostino"
256,Rodolfo Javier Garrido
257,Ceferino Reato
258,Rolling Stone
189,Disney
288,Warner Bros.
188,Carlos Campos Salvá
239,Miguel Angel de Marco
261,Fernando Savater
221,Desconocido
11,Jeff Kinney
37,Naomi Novik
96,Silvia Schujer
97,Gustavo Roldán
98,I. T. Hawryszkiewycz
161,Ángeles Durini
59,Lemony Snicket
101,"Korky Korky, Laura Owen"
17,Marvel
292,Stella Tack
294,Hachi Ishie
295,Rebecca Yarros
275,Gwenda Bond
60,Chanti
296,Sarah J. Maas
39,María Elena Walsh
25,Geronimo Stilton
116,Veronica Cantero Burroni
117,Silvia Graciela Schujer
118,"Margarita Mainé, Iñaki Echeverría"
119,Françoize Boucher
50,Valérie Thomas
121,"Roberto Sotelo, Douglas Wright"
122,Ricardo Alcántara
123,Paula Bombara
124,Wizarding World
281,Arthur Conan Doyle
126,R.A.Montgomery
127,Dan Green
128,Jane Cadwallader
129,Horacio Quiroga
130,Mónica Lopez
40,"Korky Korky, Korky Paul, Valerie Thomas"
132,Nik
133,DK
44,"Korky Korky, Valerie Thomas"
113,"Disney, Pixar"
51,"Valerie Thomas, Korky Paul"
53,Fabián Sevilla
139,Roberta Iannamico
140,Natalia Schapiro
212,Adela Basch
155,Antoine de Saint-Exupéry
215,"Liliana Cinetto, Lucía Mancilla Prieto"
218,"Graciela Montes, Random House Mondadori"
219,"Silvia Graciela Schujer, José Olmos"
153,Silvina Rocha
222,"Roberta Iannamico, Walter Carzon"
223,Julio Cortázar
298,Muneyuki Kaneshiro
162,Pablo Bernasconi
227,Sebastián Matiotti
228,María Cristina Ramos
214,Iris Rivera
304,Lewis Carrol
