id,titulo,isbn,autor_id,genero_id,anio_publicacion,editorial,ejemplares_totales,ubicacion,notas,portada_url,descripcion,paginas,idioma,saga,resena,puntuacion,creado_en
1,Percy Jackson 01: El ladrón del rayo,9789878000183,1,,,Salamandra,1,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxP4RL7qpAjfn7ZPCg-CNYg3_QkhJnVjy6NA&s,,,,,,,2026-07-14 23:24:49.675142
2,Los Últimos Frikis del Mundo y la carretera de los esqueletos,9788419266132,2,1,,Editorial Hidra,1,A1,,https://calibroscopio.com.ar/wp-content/uploads/2024/03/8419266132.jpg,"EQUIPADOS CON el bate de medianoche, Jack Sullivan y sus amigos han emprendido la búsqueda del malvado Thrull y su ejéreito de esque-letos. El tiempo corre: el enemigo ha empezado a construir la Torre, un portal con capacidad para traer a Reżzóch el Antiguo, el destructor de mundos, hasta nuestra dimensión. Gracias a una pista crucial que descubrió June durante su aventura en solitario, el grupo hace lo im-pensable: salen de Wakefield para embarcarse en un... ¡VIAJE ÉPICO POR CARRETERA!
Eso implica música a todo trapo, atracciones turísticas cutrongas, montones de papeo, des-vios peligrosos y un puñado de monstruos y esqueletos en cada esquina. Pero no será un viaje de placer postapocalíptico normal y co-riente. Porque, pronto, se enfrentarán a una nueva amenaza: el regreso de un monstruo al que creían muerto, que ha adoptado una forma nueva y terrorifica. Jack, June, Quint y Dirk necesitarán suerte para lograr obtener las respuestas que buscan. Pero cuando el futuro del mundo depende de ello, nuestros héroes no pisan el freno: ¡aprietan el acelerador a fondo!",311,Español,Los Ultimos Frikis Del Mundo,Muy bueno,4.0,2026-07-14 23:24:50.254139
3,Los Últimos Frikis del Mundo y el más allá cósmico,9788417390136,2,1,,Editorial Hidra,1,A1,,http://books.google.com/books/content?id=ZABPwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"PARA JACK y sus amigos eso significa que podrán hacer épicas batallas con bolas de nieve, usar trineos y disfrutar de una increíblemente monstruosa fiesta navideña.
Pero todo se complica cuando una villana comienza a perseguirles para darles caza. Y esta villana... ¡ES HUMANA!
La villana tiene un plan oculto, y para llevarlo a cabo necesita algo de Jack... ¡El mundo vuelve a estar en peligro! ¿Conseguirá Jack sobreponerse a todas las sorpresas que le esperan y salvarlo?",257,Español,Los Ultimos Frikis Del Mundo,Muy bueno,4.0,2026-07-14 23:24:50.79105
4,Los Últimos Frikis del Mundo,9788415709794,2,1,,Editorial Hidra,1,A1,,http://books.google.com/books/content?id=un7zDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Han pasado ya cuarenta y dos días desde que los monstruos arrasaron la ciudad y casi todo el mundo ha huido o se ha convertido en zombi. Pero un chico de trece años, Jack Sulli-van, se ha atrincherado en su casa del árbol. Su refugio está armado hasta los dientes con catapultas y cuenta con un foso. Por no mencionar toneladas de videojuegos y un surtido interminable de Oreos y refrescos recolectados en tiendas vacías.
Pero Jack no es rival por sí solo para hordas de zombis y monstruos enormes (¡algunos de ellos con alas!), especialmente uno: una gigantesca e inteligentísima bestia conocida como Blarg. Jack necesita crear un equipo con cualquier friki que pueda encontrar. O incluso con algún monstruo que le muestre algo de leal-tad. Con la ayuda de todos, Jack quiere ocuparse de Blarg, demostrarse a sí mismo que es el héroe postapocalíptico definitivo y dejar de ser un pringado para siempre.
¿Podrá conseguirlo?",225,Español,Los Ultimos Frikis Del Mundo,Muy bueno,4.0,2026-07-14 23:24:51.328623
5,Archi enemigos,9789877475180,5,1,,V&R Ediciones,1,A1,,https://vreditoras.com.ar//uploads/libros/5cd161a0977de07d18d7b90f74a9df2bArchienemigos.jpg,"La vida secreta de Nova es complicada:
Como Insomnia, es miembro de los Renegados y trabaja en la patrulla de Adrian para proteger a los débiles y mantener el orden en la ciudad. Como Pesadilla, es una Anarquista, parte del grupo de villanos que desea derrocar a los Renegados.
Y como Nova... sus sentimientos por Adrian son cada vez más profundos, incluso cuando él es el hijo de sus peores enemigos y le oculta peligrosos secretos.
Mientras la delincuencia crece en Gatlon City, Adrian y Nova no solo cuestionarán sus creencias sobre la justicia, sino también lo que sienten el uno por el otro.",488,Español,Renegados,Muy bueno,5.0,2026-07-14 23:24:51.865034
6,Los Últimos Frikis del Mundo y el el bate de medianoche,9788418002755,2,1,,Editorial Hidra,1,A1,,https://app.masterlibros.com.ar/admin/files/libros/194544/9788418002755.jpg,"SOBREVIVIR A SU PRIMER invierno tras el Apocalipsis Monstruoso no fue tarea fácil, pero aun así Jack y sus colegas no dudan en enfrentarse a algunos de los monstruos más malignos y temibles de la zona. Cuando Jack descubre que el Pincho Moruno posee nuevos y asombrosos poderes, se embarca en un entrenamiento épico para descubrir hasta dónde es capaz de llegar con su bate.
Pero entre combatir zombis, huir de unas extrañas Trepacosas luminosas que emergen del suelo, y echarse alguna que otra partidi-ta a la consola, apenas les queda tiempo para averiguar qué le ocurre a su colega, Dirk, que lleva un tiempo actuando de un modo extraño cuando está cerca de los no muertos. Cuando aparezca un villano inesperado, ¿podrán Jack y sus amigos salvar al mundo de la dominación cósmica?",289,Español,Los Ultimos Frikis Del Mundo,Muy bueno,4.0,2026-07-14 23:24:52.401183
7,Los Últimos Frikis del Mundo y el Rey de las Pesadillas,9788417390129,2,1,,Editorial Hidra,1,A1,,http://books.google.com/books/content?id=iFEtuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"LA VIDA TRAS EL APOCALIPSIS ZOMBI no le va mal a Jack Sullivan: vive con sus mejores amigos en una casa del arbol supermolona, recorre la ciudad a toda pastilla como si jugara una partida de Mario Kart en vivo, tiene una panda de colegas monstruosos, se enfrenta a zombis con frecuencia y, en general, ¡se toma la vida como si fuera un videojuego!
Entonces, los amigos de Jack hacen un descubrimiento sorprendente: puede que no sean los últimos frikis del mundo. Es una gran noticia para todos... menos para Jack. Una vez que encuentren a otros humanos, isus amigos no se quedarán mucho más tiempo a su lado! Jack tendrá que convencerlos de seguir divirtiéndose juntos.
Pero hay un problema: es dificil convencer a tus amigos de que todo es genial mientras os persigue el monstruoso Rey de las Pesadillas y un mal ancestral que no descansará hasta haber devorado la Tierra. ¡Porras! Puede que la vida después del apocalipsis monstruoso sea más complicada de lo que Jack pensaba...",257,Español,Los Ultimos Frikis Del Mundo,Muy bueno,4.0,2026-07-14 23:24:52.937784
8,Los Últimos Frikis del Mundo y la marcha zombi,9788416387953,2,1,,Editorial Hidra,1,A1,,http://books.google.com/books/content?id=uc2DswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"LOS ZOMBIS ESTÁN DESAPARECIENDO. Esto podría parecer una buena noticia, porque los zombis siempre están intentando comer cerebros, pero Jack Sullivan sospecha que algo no va bien. No deja de oír un ruido que parece que está atrayendo a los zombis... Pero ¿hacia dónde y para qué?
Jack, sus tres mejores amigos (quizá las últimas personas de la Tierra) y su monstruo mascota, Rover, van a llegar al final de este asunto.
Y en el camino hacia las respuestas que buscan, encontrarán gusanos gigantes, monstruos que pasan el rato en la pizzería, un ser ancestral que destruye mundos y un equipo de sonido que es la bomba. ¿Podrá descubrir Jack por qué los zombis están desapareciendo... antes de que sus amigos sean los siguientes?",291,Español,Los Ultimos Frikis Del Mundo,Muy bueno,4.0,2026-07-14 23:24:53.473636
113,Clásicos de oro Disney 14: Toy Story 2,9789870700319,113,,,Genios,1,,,,,,,,,,2026-07-14 23:25:31.864549
9,Harry Potter y la Camara Secreta,9789878000114,9,,,Salamandra Bolsillo,1,,,https://images.cdn2.buscalibre.com/fit-in/360x360/1a/1b/1a1b975ace9d300841c305826a644bea.jpg,,,,,,,2026-07-14 23:24:53.831057
10,Aprendiz de dragón,9789877313598,10,,,El Barco De Vapor,1,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBa-1xvthZayvIXl9lEW5LKT5TUTxkTJc79Q&s,,,,,,,2026-07-14 23:24:54.189568
11,Diario de Greg 01: Un Renacuajo,9789878120003,11,8,,Molino,1,A1,,https://calibroscopio.com.ar/wp-content/uploads/2022/08/9878120003.jpg,"Ser casi adolescente puede resultar muy fastidioso. Nadie lo sabe mejor que Greg Heffley, inmerso en el duro ambiente del colegio, donde los chicos bajitos que aún no han dado el estirón tienen que compartir
los pasillos con grandulones que ya se afeitan dos veces al día.
En Diario de Greg, el escritor y dibujante Jeff Kinney nos presenta a su antihéroe. Como este dice en su diario:",217,Español,Diario de Greg,Muy bueno,4.0,2026-07-14 23:24:54.725587
12,"Puki, Un Perronauta",9789877317763,12,,,SM,1,,,https://images.cdn3.buscalibre.com/fit-in/360x360/78/01/7801921b3298051b342a2925a53cd4b0.jpg,,,,,,,2026-07-14 23:24:55.083094
13,"Puki, Un Perro Insoportable ",9789875738560,13,,,SM,1,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN9vTdJEWx-I1fk9cchdMZQ8wnofqIotinPw&s,,,,,,,2026-07-14 23:24:55.440592
14,Diario de Greg 14: Arrasa Con Todo,9789874404503,11,8,,RBA,1,A1,,https://calibroscopio.com.ar/wp-content/uploads/2020/08/9874404503.jpg,"Una herencia inesperada da a la familia de Greg Heffley la oportunidad de reformar su casa. Pero pronto averiguan que hacer obras no es tan sencillo como parecía.
Una vez derribados los tabi-ques, surgen los problemas:
maderas podridas, mohos tóxicos, bichos desagradables y algo todavía más siniestro hacen que Greg y su familia se pregunten si tanto embrollo vale la pena.
Cuando por fin terminan las
obras, ¿podrán los Heffley quedarse en la ciudad... o deberán abandonarla?",217,Español,Diario de Greg,Muy bueno,4.0,2026-07-14 23:24:55.976113
15,Diminuto Contra Los Fantasmas,9789504643241,15,,,Loqueleo,1,,,https://www.loqueleo.com/ar/uploads/2015/11/resized/800_9789504643241.jpg,,,,,,,2026-07-14 23:24:56.333532
16,Harry Potter Y Las Reliquias De La Muerte,9789878000190,9,,,Salamandra,1,,,https://contentv2.tap-commerce.com/cover/large/9789878000190_1.jpg?id_com=717,,,,,,,2026-07-14 23:24:56.690646
17,Amistoso Vecino Spiderman: Secretos y Rumores,9786075683423,17,,,Panini Comics,1,,,https://http2.mlstatic.com/D_NQ_NP_639370-MLA83999442646_052025-O.webp,,,,,,,2026-07-14 23:24:57.048031
18,Amistoso Vecino Spiderman: Tomando El Control,9786075687810,17,,,Panini Comics,1,,,https://images.cdn1.buscalibre.com/fit-in/360x360/b5/f5/b5f56ebf4505da5e1e5d95f6a0f74d35.jpg,,,,,,,2026-07-14 23:24:57.40559
